(Cold_Sub_1, Cold_Pred_3) -> Hot_Obj_0
(Cold_Sub_40, Hot_Pred_1) -> Hot_Obj_4
(Cold_Sub_40, Hot_Pred_2) -> Hot_Obj_2
(Cold_Sub_41, Hot_Pred_2) -> Cold_Obj_6
(Cold_Sub_42, Hot_Pred_1) -> Cold_Obj_49
(Cold_Sub_43, Cold_Pred_12) -> Cold_Obj_37
(Cold_Sub_43, Hot_Pred_0) -> Hot_Obj_1
(Cold_Sub_43, Hot_Pred_1) -> Hot_Obj_3
(Cold_Sub_45, Hot_Pred_2) -> Hot_Obj_0
(Cold_Sub_46, Hot_Pred_0) -> Hot_Obj_0
(Cold_Sub_47, Hot_Pred_1) -> Cold_Obj_49
(Cold_Sub_48, Hot_Pred_2) -> Hot_Obj_1
(Cold_Sub_49, Hot_Pred_0) -> Hot_Obj_2
(Cold_Sub_49, Hot_Pred_1) -> Hot_Obj_1
(Cold_Sub_49, Hot_Pred_2) -> Hot_Obj_4
(Cold_Sub_5, Hot_Pred_2) -> Hot_Obj_1
(Cold_Sub_6, Cold_Pred_11) -> Hot_Obj_4
(Cold_Sub_7, Cold_Pred_5) -> Hot_Obj_3
(Cold_Sub_7, Hot_Pred_2) -> Hot_Obj_3
(Cold_Sub_8, Cold_Pred_6) -> Hot_Obj_3
(Cold_Sub_8, Hot_Pred_2) -> Hot_Obj_1
(Hot_Sub_0, Cold_Pred_12) -> Hot_Obj_0
(Hot_Sub_0, Cold_Pred_14) -> Hot_Obj_1
(Hot_Sub_0, Cold_Pred_19) -> Cold_Obj_38
(Hot_Sub_0, Cold_Pred_3) -> Hot_Obj_4
(Hot_Sub_0, Cold_Pred_5) -> Hot_Obj_2
(Hot_Sub_0, Cold_Pred_6) -> Cold_Obj_45
(Hot_Sub_0, Cold_Pred_7) -> Cold_Obj_34
(Hot_Sub_0, Cold_Pred_8) -> Cold_Obj_6
(Hot_Sub_0, Hot_Pred_2) -> Hot_Obj_1
(Hot_Sub_1, Cold_Pred_15) -> Hot_Obj_1
(Hot_Sub_1, Cold_Pred_18) -> Hot_Obj_4
(Hot_Sub_1, Cold_Pred_4) -> Hot_Obj_1
(Hot_Sub_1, Cold_Pred_6) -> Hot_Obj_3
(Hot_Sub_1, Cold_Pred_7) -> Hot_Obj_0
(Hot_Sub_1, Cold_Pred_8) -> Hot_Obj_2
(Hot_Sub_1, Cold_Pred_9) -> Hot_Obj_3
(Hot_Sub_1, Hot_Pred_0) -> Hot_Obj_3
(Hot_Sub_1, Hot_Pred_1) -> Cold_Obj_25
(Hot_Sub_1, Hot_Pred_2) -> Hot_Obj_3
(Hot_Sub_2, Cold_Pred_1) -> Hot_Obj_3
(Hot_Sub_2, Cold_Pred_12) -> Hot_Obj_4
(Hot_Sub_2, Cold_Pred_14) -> Cold_Obj_8
(Hot_Sub_2, Cold_Pred_15) -> Cold_Obj_10
(Hot_Sub_2, Cold_Pred_18) -> Hot_Obj_0
(Hot_Sub_2, Cold_Pred_6) -> Hot_Obj_0
(Hot_Sub_2, Hot_Pred_0) -> Hot_Obj_0
(Hot_Sub_2, Hot_Pred_2) -> Cold_Obj_40
(Hot_Sub_3, Cold_Pred_12) -> Hot_Obj_3
(Hot_Sub_3, Cold_Pred_17) -> Hot_Obj_4
(Hot_Sub_3, Cold_Pred_18) -> Hot_Obj_2
(Hot_Sub_3, Cold_Pred_4) -> Hot_Obj_1
(Hot_Sub_3, Cold_Pred_6) -> Hot_Obj_0
(Hot_Sub_3, Hot_Pred_0) -> Hot_Obj_0
(Hot_Sub_3, Hot_Pred_1) -> Hot_Obj_2
(Hot_Sub_4, Cold_Pred_1) -> Hot_Obj_4
(Hot_Sub_4, Cold_Pred_11) -> Hot_Obj_2
(Hot_Sub_4, Cold_Pred_12) -> Hot_Obj_4
(Hot_Sub_4, Cold_Pred_19) -> Hot_Obj_4
(Hot_Sub_4, Cold_Pred_2) -> Cold_Obj_45
(Hot_Sub_4, Cold_Pred_7) -> Hot_Obj_3
